global_step,date,day_step,real_price,sim_price,best_bid,best_ask,spread_bps,imbalance,daily_sentiment,intraday_sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,total_volume,trade_count,fills_this_step
2572,2024-02-21,22,51849.39,55346.224121075255,55335.17937632158,55357.268865828926,3.991146615353647,-0.0165245053369022,0.56,0.3462529967576395,0.08803000279308328,0.2955798443280137,extreme_greed,8.909716578808405,101,6
2573,2024-02-21,23,51849.39,55344.988359563424,55335.17937632158,55354.797342805265,3.5446690052997174,-0.014589363086305651,0.56,0.29763626423026934,0.08136650467896057,0.26501135557706934,extreme_greed,9.032223223512952,103,2
2574,2024-02-21,24,51849.39,55344.988359563424,55335.17937632158,55354.797342805265,3.5446690052997174,-0.014589395506720271,0.56,0.2473462863380677,0.08393969749292952,0.2909582250048115,extreme_greed,9.32807273791079,105,2
2575,2024-02-21,25,51849.39,55344.988359563424,55335.17937632158,55354.797342805265,3.5446690052997174,-0.013607678488437863,0.56,0.2670603039397133,0.08988626400571646,0.2690810522088302,extreme_greed,9.656229787589114,107,2
2576,2024-02-21,26,51849.39,55345.97626153627,55334.68365724361,55357.268865828926,4.080731809407884,-0.011910805391707574,0.56,0.29779703010904435,0.10714788550945445,0.27800019946144594,extreme_greed,10.145222489004276,112,5
2577,2024-02-21,27,51849.39,55346.35784436962,55334.68365724361,55358.03203149563,4.21859272432701,-0.011975114999448694,0.56,0.31192708099723765,0.09940018259479716,0.29764019241245865,extreme_greed,10.75703333644833,119,7
2578,2024-02-21,28,51849.39,55343.18301601107,55334.63484891094,55351.73118311121,3.0891490638198995,-0.014141643939674561,0.56,0.3015517124515723,0.1010056268249137,0.29131345749312904,extreme_greed,11.116969828001531,125,6
2579,2024-02-21,29,51849.39,55334.74098540415,55334.63484891094,55334.847121897365,0.03836161200857491,-0.01521894405119646,0.56,0.25850541614766276,0.10967999860484826,0.26362738239465144,extreme_greed,11.5502030935664,129,4
2580,2024-02-21,30,51849.39,55330.60102657866,55326.35493125995,55334.847121897365,1.5348090351188188,-0.016266351799811746,0.56,0.2673380269703596,0.10202373630970907,0.25520379782091235,extreme_greed,12.622956350366243,138,9
2581,2024-02-21,31,51849.39,55330.1445661975,55326.35493125995,55333.934201135045,1.3698265085911214,-0.01505466629319842,0.56,0.27800369507996137,0.09596991807761308,0.26461450863546265,extreme_greed,12.790096974964447,140,2
2582,2024-02-21,32,51849.39,55329.92324139033,55326.35493125995,55333.49155152071,1.289830139403101,-0.015895896726830033,0.56,0.303228337502459,0.08091192244434578,0.2716811293450837,extreme_greed,12.913808550637814,141,1
2583,2024-02-21,33,51849.39,55329.417342810426,55325.34313410014,55333.49155152071,1.4727097829501528,-0.011196359903103583,0.56,0.328432186925757,0.10629815835111796,0.2964108397823797,extreme_greed,13.411250832109348,149,8
2584,2024-02-21,34,51849.39,55328.23164734076,55325.34313410014,55331.120160581384,1.0441371989014512,-0.014963638938431273,0.56,0.35616152219080605,0.10238246469718679,0.26024007624695833,extreme_greed,13.819559651517356,153,4
2585,2024-02-21,35,51849.39,55326.899952091364,55324.56232520661,55329.23757897613,0.845023627488522,-0.01329472044362094,0.56,0.35224216525893304,0.09902683996440845,0.2509078982803539,extreme_greed,14.354306026389201,159,6
2586,2024-02-21,36,51849.39,55325.70750322475,55322.17742747337,55329.23757897613,1.2761068626818266,-0.015677785682167884,0.56,0.3605375000611629,0.09343827251531493,0.29256411061082654,extreme_greed,14.874871598901409,165,6
2587,2024-02-21,37,51849.39,55324.43063796832,55322.17742747337,55326.68384846327,0.8145444856700449,-0.015495410100722523,0.56,0.3627732714656816,0.08864448467100125,0.26619880532807694,extreme_greed,14.901678993424317,166,1
2588,2024-02-21,38,51849.39,55323.2687063142,55321.58229347107,55324.955119157334,0.609657701928579,-0.021552024873496434,0.56,0.36761330790203844,0.089297897276875,0.2949991638439327,extreme_greed,16.03725132241089,175,9
2589,2024-02-21,39,51849.39,55322.06068429568,55319.16624943403,55324.955119157334,1.046394449465953,-0.019155361267507647,0.56,0.39597985107833233,0.10957922953056559,0.2883506264990385,extreme_greed,16.768104729868625,179,4
2590,2024-02-21,40,51849.39,55321.935354102214,55318.915589047094,55324.955119157334,1.0917062231431902,-0.020090984097328003,0.56,0.37709606405265084,0.10587213056879267,0.29271338463287655,extreme_greed,16.93012917505768,181,2
2591,2024-02-21,41,51849.39,55320.39420231356,55318.915589047094,55321.87281558002,0.5345635322321092,-0.019250828374465637,0.56,0.4078882793172248,0.09828515367348294,0.2683916112160478,extreme_greed,17.129460295239515,184,3
2592,2024-02-21,42,51849.39,55320.39420231356,55318.915589047094,55321.87281558002,0.5345635322321092,-0.017351103749204642,0.56,0.41893807610980377,0.1082914643191286,0.25898169131860704,extreme_greed,17.43986928187883,187,3
2593,2024-02-21,43,51849.39,55321.9509278928,55318.915589047094,55324.9862667385,1.097336154923581,-0.013631017907739865,0.56,0.39898921109958807,0.10016315201041294,0.2626097580713959,extreme_greed,17.91500937705757,194,7
2594,2024-02-21,44,51849.39,55321.9509278928,55318.915589047094,55324.9862667385,1.097336154923581,-0.013550138495675478,0.56,0.4058425868598212,0.08987287640944279,0.2766978273467467,extreme_greed,17.945294384819547,195,1
